,ssgsea,,gsva,,plage,,zscore,,pathifier,
,Sensitivity,Specificity,Sensitivity,Specificity,Sensitivity,Specificity,Sensitivity,Specificity,Sensitivity,Specificity
H00342,0,0.773480663,0,0.5,0,0.489247312,0,0.483870968,,
,0,0.767955801,0,0.440860215,0,0.486187845,0.4,0.259668508,,
,0,0.790055249,0,0.47311828,0,0.779005525,0,0.773480663,,
,0,0.817679558,0,0.740331492,0,0.817679558,0,0.779569892,,
,0,0.740331492,0,0.543010753,0,0.505376344,0,0.543010753,,
,0,0.773480663,0.8,0.552486188,1,0.513812155,0,0.61827957,,
H00014,0.2,0.917127072,0.2,0.817679558,0.2,0.867403315,1,0.027624309,0,0.861878453
,0.2,0.917127072,0.4,0.359116022,0.6,0.574585635,0.6,0.386740331,0,1
,0.2,0.867403315,0.8,0.20441989,0.6,0.337016575,0,1,0,0.977900552
,0.2,0.878453039,0.2,0.867403315,0.4,0.35359116,0.2,0.834254144,0,1
,0.2,0.900552486,0.4,0.535911602,0.4,0.320441989,0,0.806629834,0.2,0.91160221
,0.2,0.845303867,1,0.364640884,1,0.110497238,0.8,0.533707865,0,0.988950276
H00079,0,0.827777778,0.5,0.516666667,0,0.61827957,0,0.861111111,,
,0,0.822222222,0.833333333,0.527777778,0.666666667,0.644444444,0,0.327956989,,
,0,0.822222222,0.5,0.461111111,0.666666667,0.322222222,0.166666667,0.427777778,,
,0,0.860215054,0.166666667,0.594444444,1,0.188888889,0,0.720430108,,
,0,0.811827957,0.333333333,0.616666667,0,0.247311828,0,0.777777778,,
,0,0.822222222,0.333333333,0.555555556,0.833333333,0.088888889,0.666666667,0.366666667,,
H01714,0.052631579,0.891891892,0.657894737,0.358108108,0.157894737,0.783783784,0.5,0.304054054,,
,0.131578947,0.817567568,0.657894737,0.547297297,0.394736842,0.493243243,0.342105263,0.533783784,,
,0.105263158,0.824324324,0.631578947,0.385135135,0.631578947,0.5,0.789473684,0.358108108,,
,0.184210526,0.810810811,0.815789474,0.222972973,0.473684211,0.432432432,0,0.591397849,,
,0.157894737,0.837837838,0.131578947,0.831081081,0.605263158,0.358108108,0.210526316,0.797297297,,
,0.157894737,0.790540541,0.394736842,0.567567568,0.526315789,0.418918919,0.447368421,0.574324324,,
